L,11,61010,156256774,115.1768,-8.7876
L,11,41004,105058565,106.8378,-6.1688
L,11,41004,105058564,106.8431,-6.1836
L,11,61005,156180484,115.1709,-8.7785
L,11,61010,156256773,115.1758,-8.7888
L,10,2013,38391839,107.5854,-6.8953
L,10,2013,38391829,107.581,-6.893
L,10,2013,38391819,107.5776,-6.8916
L,11,54012,138771461,112.7694,-7.2642
L,11,45005,115299844,107.2774,-6.2797
L,11,45005,115266564,107.2036,-6.2701
L,10,6214,59568651,112.7335,-7.3001
L,10,6219,59647243,112.7696,-7.2672
G,10,18880,30072,117.5277,2.2542
L,11,48002,120469764,106.4569,-6.1968
L,11,48002,120460037,106.4627,-6.2006
L,10,6214,59520267,112.7365,-7.3043
L,11,41306,105070596,106.8946,-6.2138
L,10,6214,59433247,112.7374,-7.3077
L,10,6214,59468053,112.7464,-7.2837
L,10,6214,59468043,112.7474,-7.2808
G,10,18880,30073,117.4878,2.2975
L,10,9571,87125781,119.4295,-5.1352
L,10,6022,59618591,112.6727,-7.2991
L,10,2005,109988373,107.597,-6.8816
L,10,6022,59614495,112.6321,-7.2749
L,11,61001,156207620,115.1697,-8.7461
G,10,18730,40434,116.8684,-1.2412
G,10,18730,42045,116.8732,-1.2299
L,10,6025,59548683,112.6737,-7.2593
L,10,6025,59548703,112.6718,-7.2578
L,10,6021,59404319,112.7221,-7.2785
L,11,55534,138256134,112.7002,-7.447
L,10,6217,59631883,112.7498,-7.2739
L,10,9542,87121439,119.5226,-5.1009
L,10,6229,59414303,112.7449,-7.233
L,11,47004,120466692,106.5249,-6.2302
L,11,54013,138785797,112.7477,-7.2472
L,11,54013,138769925,112.7426,-7.2571
L,10,9571,87054603,119.4378,-5.1575
L,10,6218,59556639,112.7609,-7.2533
L,10,2008,38188063,107.4969,-6.8649
L,10,2013,110003467,107.5701,-6.8895
L,10,9571,87140383,119.4274,-5.1382
L,11,54413,138800388,112.7354,-7.2493
L,11,54013,138260997,112.744,-7.2482
L,11,54413,138800390,112.7308,-7.2484
L,11,54013,138830084,112.7408,-7.2464
L,11,54013,138830086,112.7386,-7.2491
L,11,47103,120436229,106.7189,-6.3056
L,11,41306,110195206,106.8561,-6.2128
L,11,42007,107652869,106.8175,-6.2086
L,10,6212,59535135,112.6965,-7.2872
L,10,6207,59532043,112.709,-7.3233
L,10,7252,79916575,116.8393,-1.2548
L,10,6217,59454239,112.7488,-7.2757
L,10,6217,59454219,112.7493,-7.2849
L,10,6229,59436575,112.7543,-7.2483
L,10,6025,59625227,112.6719,-7.2604
L,10,6214,59646495,112.7358,-7.3085
L,10,6021,59474955,112.7258,-7.2771
L,10,6021,59474965,112.7232,-7.2796
L,10,6022,59547915,112.6584,-7.2755
L,11,51130,130744324,108.5072,-6.7566
L,10,2037,40841739,107.7388,-6.5108
L,10,2037,40841759,107.7157,-6.5093
L,10,6209,129530635,112.7949,-7.372
L,11,51130,130744325,108.5145,-6.7786
L,10,2096,110182431,107.5968,-6.9603
L,10,6218,59613195,112.7503,-7.2678
L,10,6218,59613205,112.749,-7.2663
L,10,6218,59613215,112.7488,-7.2649
L,11,54412,138771205,112.7573,-7.2422
L,10,6022,59620875,112.6378,-7.2764
L,10,6022,59620885,112.6318,-7.2829
L,10,9542,87177247,119.5088,-5.1114
L,10,2001,38191391,107.6097,-6.9221
L,11,47005,120433926,106.7131,-6.287
L,10,2001,109832459,107.6327,-6.9261
L,10,2001,38191381,107.6181,-6.9227
L,10,2001,110027807,107.6281,-6.9132
L,10,2001,109832469,107.6318,-6.9248
L,10,2022,109966879,107.6982,-6.9646
L,11,51130,130638852,108.539,-6.73
L,10,6210,190737675,112.7108,-7.2944
G,10,18728,42764,116.8392,-1.2167
G,10,18728,42766,116.8367,-1.2148
G,10,18728,43004,116.8417,-1.2256
G,10,18728,40166,116.8328,-1.2259
L,11,43003,110177540,106.8127,-6.2468
L,11,47002,120425988,106.663,-6.161
L,11,47002,120425989,106.6587,-6.1671
L,11,42007,110196229,106.8309,-6.2097
L,11,42007,110196228,106.8307,-6.2109
L,10,2008,110366475,107.505,-6.8619
L,10,9571,87081503,119.4371,-5.1532
L,10,6224,56170783,112.6381,-7.9815
L,11,41004,105058053,106.8467,-6.1899
G,10,18728,49885,116.862,-1.2197
